text_length,text_quality,metadata_score,structure_score,field_score,suspicious_keywords,repeated_lines,abnormal_symbols,missing_fields,metadata_anomaly,tampering_indicators,risk_score,label
2540,46,14,33,43,4,7,5,3,4,6,76.9,Fake
2991,88,81,80,90,0,0,0,0,0,0,11.79,Genuine
2667,29,18,54,36,4,2,5,6,6,4,69.85,Fake
579,86,87,87,87,0,1,1,1,1,0,9.74,Genuine
738,93,91,95,85,0,1,0,1,0,0,13.11,Genuine
4770,95,92,84,97,0,1,1,0,1,1,16.17,Genuine
501,95,98,97,93,1,0,1,0,1,1,10.89,Genuine
3418,51,61,78,54,3,1,1,4,2,3,38.4,Suspicious
3230,65,63,51,63,3,3,2,4,1,3,46.57,Suspicious
4280,46,60,78,71,1,2,1,4,2,2,39.27,Suspicious
1848,83,86,85,98,1,0,1,1,0,1,21.64,Genuine
4050,49,69,68,47,3,0,3,2,3,2,32.7,Suspicious
1690,98,98,85,97,0,0,0,1,1,0,0.67,Genuine
2333,70,53,73,50,3,0,0,2,3,2,36.36,Suspicious
4008,15,17,48,48,6,6,5,5,4,9,81.28,Fake
2629,98,94,87,95,0,1,0,1,1,0,9.56,Genuine
4406,95,80,100,85,1,1,1,1,1,1,22.38,Genuine
4482,57,45,79,75,2,0,0,3,2,1,28.53,Suspicious
4883,87,93,81,96,1,1,0,0,0,0,13.58,Genuine
1126,99,92,96,91,1,1,0,1,0,0,11.49,Genuine
3890,92,97,99,93,1,0,0,1,1,0,14.21,Genuine
2408,23,47,47,59,5,2,7,7,6,5,68.36,Fake
2423,45,57,32,30,7,6,3,4,7,4,76.54,Fake
2579,61,73,57,58,3,3,1,4,3,1,34.09,Suspicious
3850,94,86,90,86,1,1,0,0,1,1,13.84,Genuine
1386,54,70,50,45,3,1,2,1,3,2,49.14,Suspicious
1467,79,47,51,65,3,2,0,1,1,3,37.97,Suspicious
3691,83,92,83,89,1,1,1,0,1,1,20.26,Genuine
2825,94,94,99,85,1,0,0,1,0,1,12.71,Genuine
4875,55,59,24,51,9,5,4,6,6,8,82.32,Fake
3514,85,90,85,85,1,1,1,1,1,1,16.82,Genuine
3283,87,80,99,96,0,1,0,0,0,1,16.63,Genuine
3762,56,51,69,78,2,3,1,4,1,1,33.31,Suspicious
1285,42,11,24,20,4,3,2,6,7,6,75.86,Fake
3590,57,14,33,58,9,2,5,5,4,5,82.4,Fake
3900,23,53,50,18,9,3,3,7,3,9,89.36,Fake
2907,81,86,80,92,1,0,0,1,0,1,21.83,Genuine
950,87,87,94,89,0,0,0,1,0,0,5.05,Genuine
323,78,77,50,60,3,1,3,2,3,3,40.14,Suspicious
2503,90,92,96,87,0,0,0,0,1,0,7.41,Genuine
3936,49,10,44,31,7,2,7,5,5,3,80.63,Fake
3061,48,43,71,50,2,0,3,4,2,2,37.97,Suspicious
951,100,88,91,89,0,1,1,0,0,1,13.5,Genuine
2021,80,52,47,77,2,1,3,2,1,3,41.98,Suspicious
842,73,62,62,79,3,0,3,3,2,1,35.97,Suspicious
580,84,93,83,92,1,0,0,1,0,0,14.22,Genuine
205,77,66,79,62,1,3,0,1,3,1,20.55,Suspicious
3480,22,55,50,22,8,7,2,3,5,8,87.79,Fake
4359,56,34,12,43,9,5,2,5,6,8,82.74,Fake
662,15,39,31,36,5,3,7,4,3,3,73.85,Fake
406,81,92,100,99,1,1,1,0,0,1,18.88,Genuine
2562,80,97,89,91,1,1,0,1,1,0,6.93,Genuine
4483,54,54,72,51,2,2,1,4,2,2,35.08,Suspicious
4426,54,40,36,15,5,4,5,3,6,8,83.15,Fake
889,97,92,89,92,1,0,1,1,1,0,11.1,Genuine
1999,99,90,97,99,0,0,1,1,1,1,7.41,Genuine
4500,61,42,78,69,1,1,1,2,3,1,26.88,Suspicious
2612,18,50,10,11,6,6,2,4,3,4,68.57,Fake
2515,47,29,35,41,9,7,4,3,6,9,86.9,Fake
1900,88,95,82,94,0,0,1,0,1,1,8.85,Genuine
208,77,52,69,68,4,0,3,2,2,1,33.11,Suspicious
1049,82,99,86,95,1,0,0,0,1,0,11.72,Genuine
3283,85,91,84,98,1,0,0,1,1,1,12.51,Genuine
3035,84,87,84,94,1,0,1,0,0,0,11.35,Genuine
459,77,60,76,67,1,3,2,4,2,1,38.02,Suspicious
2592,22,10,47,49,3,3,6,4,3,6,74.58,Fake
971,73,66,66,62,1,3,1,2,3,3,43.1,Suspicious
1645,90,81,80,99,0,1,1,0,0,0,15.11,Genuine
643,92,87,95,90,0,0,0,0,1,1,12.0,Genuine
2273,89,80,83,94,0,1,1,1,0,1,17.5,Genuine
526,81,86,98,91,1,1,1,0,0,1,15.98,Genuine
4933,62,46,54,51,1,2,0,3,1,3,39.8,Suspicious
154,90,96,96,90,1,0,1,1,1,1,12.84,Genuine
1135,69,78,72,77,2,0,0,2,3,1,24.39,Suspicious
2570,72,63,72,80,4,3,1,1,3,2,38.43,Suspicious
1373,46,42,61,63,3,3,0,1,2,3,46.45,Suspicious
990,23,12,43,42,4,2,6,4,6,5,74.95,Fake
3109,68,66,72,49,3,0,0,4,3,3,35.61,Suspicious
4833,77,68,47,74,3,1,1,4,3,3,39.17,Suspicious
1343,87,92,83,99,1,1,0,1,1,1,13.83,Genuine
1193,97,100,87,87,1,1,0,1,1,0,12.37,Genuine
868,44,36,43,37,9,2,4,4,5,5,73.63,Fake
4493,40,60,37,36,7,7,2,4,4,8,81.64,Fake
4105,73,41,61,75,4,2,3,4,3,2,53.81,Suspicious
163,72,65,50,78,4,3,2,3,1,1,41.06,Suspicious
2834,66,60,74,55,4,0,2,4,1,3,41.52,Suspicious
2590,99,81,90,86,0,1,1,0,0,0,9.45,Genuine
2647,100,81,89,98,1,0,1,0,0,1,15.34,Genuine
1839,52,58,59,66,3,1,0,4,2,3,40.74,Suspicious
281,100,83,100,86,1,0,1,0,1,1,8.14,Genuine
1399,54,78,71,80,1,3,3,3,3,3,37.9,Suspicious
2953,64,42,48,70,3,1,1,4,2,1,39.3,Suspicious
1065,48,57,50,79,2,2,2,2,1,2,33.81,Suspicious
2477,58,63,69,79,1,1,1,1,2,3,35.41,Suspicious
4201,98,92,97,98,1,1,1,1,1,0,9.71,Genuine
2215,56,58,22,23,6,5,2,7,6,6,73.73,Fake
2865,48,11,21,37,3,6,6,6,3,4,80.33,Fake
3734,54,39,10,29,3,6,5,5,3,4,64.56,Fake
1628,11,21,51,27,8,4,4,3,4,4,78.68,Fake
1246,87,96,86,85,1,0,1,0,0,0,9.5,Genuine
1114,89,100,92,99,1,1,1,1,1,0,9.64,Genuine
557,56,27,56,29,6,5,2,7,5,7,73.64,Fake
2410,57,74,68,45,2,3,2,2,2,2,43.29,Suspicious
2467,75,50,79,55,4,0,3,1,3,2,40.36,Suspicious
3623,47,41,77,63,1,3,0,4,1,3,43.39,Suspicious
3381,80,89,94,91,0,0,0,0,0,0,13.83,Genuine
462,66,71,60,59,2,1,3,2,1,3,38.46,Suspicious
4897,18,28,24,60,4,3,4,3,5,7,79.23,Fake
4449,98,99,88,87,1,1,0,0,1,0,10.98,Genuine
729,80,59,76,70,2,3,2,2,3,3,38.22,Suspicious
2565,64,65,59,51,3,1,0,3,2,3,45.8,Suspicious
3942,48,78,64,68,4,2,1,1,3,2,35.82,Suspicious
1180,86,91,90,90,0,0,0,0,0,1,13.13,Genuine
4622,51,75,74,51,3,3,3,3,3,1,38.68,Suspicious
2449,39,13,23,22,8,2,6,7,6,6,96.42,Fake
2221,49,38,46,14,8,2,4,7,4,8,93.89,Fake
2832,54,25,46,60,3,2,5,3,5,4,56.93,Fake
386,94,82,84,96,0,1,1,1,1,0,12.79,Genuine
1826,88,80,83,87,1,0,1,0,0,1,14.85,Genuine
4492,75,76,67,79,4,3,1,1,2,1,29.69,Suspicious
1370,81,88,92,100,0,1,0,0,0,0,3.05,Genuine
1437,80,97,93,89,0,1,0,1,0,0,3.81,Genuine
237,65,53,74,46,4,1,0,1,3,3,47.78,Suspicious
4809,80,87,84,100,1,1,0,0,1,1,11.79,Genuine
1194,65,70,55,72,4,3,3,3,2,2,47.71,Suspicious
3796,62,50,55,53,2,0,1,3,2,3,36.76,Suspicious
1735,46,62,79,76,4,2,0,4,2,3,48.13,Suspicious
240,16,10,28,39,4,3,6,7,5,8,83.61,Fake
1577,26,45,15,56,4,2,3,7,4,9,76.64,Fake
2651,97,85,85,93,1,0,1,1,1,0,13.89,Genuine
2835,97,88,97,87,0,1,1,0,0,0,15.81,Genuine
503,83,98,82,92,1,1,1,0,0,0,10.53,Genuine
2501,16,52,29,43,6,2,5,7,2,7,81.05,Fake
2136,48,50,54,72,3,2,2,4,2,3,46.01,Suspicious
2704,48,67,58,56,3,1,2,4,1,1,35.96,Suspicious
4935,61,79,45,57,2,3,2,2,1,2,39.64,Suspicious
4996,74,44,64,54,4,1,1,2,2,2,35.11,Suspicious
1672,21,55,58,23,5,5,6,7,2,8,77.44,Fake
3806,49,60,51,57,7,5,2,5,6,7,70.98,Fake
755,43,52,34,19,7,7,4,5,3,3,74.13,Fake
4334,92,87,89,91,0,1,0,0,1,1,9.31,Genuine
1941,67,60,76,61,3,2,0,3,1,2,33.95,Suspicious
2895,28,24,44,58,8,5,7,6,6,6,88.67,Fake
2863,45,43,53,80,3,1,3,4,1,1,42.5,Suspicious
4083,40,25,30,50,9,6,2,7,3,3,78.37,Fake
4557,15,16,25,15,5,5,7,5,5,4,83.66,Fake
355,12,17,14,14,3,6,3,5,2,6,83.15,Fake
4029,62,48,72,63,4,3,0,4,1,3,42.58,Suspicious
1046,39,35,39,60,4,5,2,4,3,9,75.59,Fake
4161,23,15,25,50,6,6,6,6,6,5,81.87,Fake
4096,68,78,77,63,2,2,2,3,1,2,39.13,Suspicious
4942,53,57,60,76,2,3,2,4,1,1,40.15,Suspicious
3806,61,50,47,54,2,3,3,4,3,2,42.06,Suspicious
865,34,12,14,14,5,4,3,3,6,3,75.17,Fake
3169,84,90,91,86,1,0,0,1,1,0,9.81,Genuine
658,84,82,91,92,1,0,0,0,0,0,10.99,Genuine
2147,43,17,48,10,7,3,4,7,4,5,81.7,Fake
1799,89,93,86,87,1,1,0,1,1,0,9.34,Genuine
1375,26,39,34,23,5,3,7,6,6,6,77.56,Fake
1062,24,13,30,22,8,4,3,7,5,7,85.12,Fake
400,49,63,58,47,3,1,3,4,2,3,54.32,Suspicious
1277,30,20,17,40,5,3,7,3,7,9,79.37,Fake
1763,11,22,13,29,4,4,4,7,5,3,72.43,Fake
1482,75,49,70,66,4,3,2,1,1,1,37.56,Suspicious
4819,76,78,80,77,4,2,0,4,1,3,39.56,Suspicious
4802,94,95,80,94,1,0,1,1,0,1,13.77,Genuine
1079,16,50,30,25,6,4,5,4,4,9,85.53,Fake
787,48,80,53,79,3,3,0,3,1,2,38.43,Suspicious
1089,57,42,55,60,4,2,2,3,1,2,45.23,Suspicious
2718,41,26,46,33,4,4,7,6,4,4,74.11,Fake
3502,77,73,62,49,1,2,1,2,3,3,33.69,Suspicious
1007,20,48,17,60,3,5,5,5,2,3,68.46,Fake
270,80,52,77,76,4,3,2,1,2,1,34.33,Suspicious
2458,60,47,80,76,2,0,3,2,2,3,38.26,Suspicious
3722,90,94,82,94,0,0,0,0,0,0,8.77,Genuine
2609,46,20,14,60,7,6,5,5,7,8,75.61,Fake
3951,51,44,50,58,3,0,1,3,2,3,47.65,Suspicious
4266,71,50,74,78,3,3,3,2,2,3,52.14,Suspicious
2695,92,80,96,87,1,0,1,1,1,1,19.49,Genuine
3162,98,100,95,95,0,1,0,1,0,0,6.73,Genuine
2385,89,96,94,98,0,1,1,0,1,1,13.9,Genuine
3596,20,43,11,23,4,5,4,3,5,8,75.56,Fake
4102,36,19,34,58,7,2,4,7,2,9,83.18,Fake
450,84,80,96,87,0,1,1,1,1,1,15.49,Genuine
329,97,100,97,89,1,0,1,0,1,1,16.14,Genuine
2346,71,51,61,65,3,1,1,3,1,2,37.18,Suspicious
4496,94,97,94,95,1,0,1,0,1,1,11.13,Genuine
2748,65,73,67,78,4,2,1,4,1,3,42.45,Suspicious
751,85,100,87,87,1,0,0,1,1,1,21.82,Genuine
4286,68,56,57,64,1,2,2,3,1,1,31.3,Suspicious
3914,57,50,70,66,4,3,0,1,2,1,37.5,Suspicious
491,99,100,92,97,0,0,1,0,0,0,1.57,Genuine
183,98,99,88,97,0,1,0,1,1,0,6.9,Genuine
2430,32,57,32,59,9,6,7,3,7,6,80.51,Fake
629,73,47,54,77,3,3,0,1,1,1,35.37,Suspicious
1292,94,85,100,100,0,1,0,0,0,1,12.17,Genuine
3298,40,48,31,21,9,7,6,4,6,3,81.06,Fake
1084,93,95,90,87,0,1,1,1,1,0,10.08,Genuine
4058,66,42,73,71,3,2,0,4,1,3,33.26,Suspicious
4402,87,80,93,94,0,1,1,1,0,0,9.71,Genuine
1554,99,94,94,89,1,0,0,1,0,1,8.19,Genuine
603,19,24,51,38,3,4,2,6,2,4,63.62,Fake
3156,72,64,50,77,1,1,2,4,3,1,36.45,Suspicious
2611,54,45,56,56,1,1,1,4,3,1,34.6,Suspicious
3157,52,42,47,45,2,3,0,3,2,2,38.04,Suspicious
3332,17,28,35,13,9,4,3,4,7,6,84.84,Fake
3982,36,12,37,11,6,4,4,7,3,7,82.66,Fake
1403,52,58,73,63,1,1,2,2,3,2,34.83,Suspicious
2457,97,98,80,98,1,0,0,1,1,1,13.31,Genuine
4893,84,81,94,86,0,0,0,1,0,0,9.04,Genuine
4112,85,89,98,94,1,1,1,0,1,1,8.69,Genuine
1311,50,43,79,53,2,0,2,2,2,2,36.16,Suspicious
2191,95,89,90,96,1,0,1,1,1,0,15.75,Genuine
3429,53,35,45,55,5,3,5,4,4,7,73.75,Fake
3173,28,48,19,14,9,7,3,7,4,9,91.22,Fake
747,20,37,47,26,4,3,6,5,2,7,79.67,Fake
2365,31,60,47,51,6,2,4,4,4,5,66.25,Fake
700,95,81,96,96,1,1,0,1,1,1,15.2,Genuine
2794,70,65,49,80,4,2,1,1,2,1,34.1,Suspicious
4290,52,59,78,48,2,2,3,4,2,1,34.07,Suspicious
2376,53,59,64,51,3,0,1,3,3,2,45.1,Suspicious
3250,31,34,27,15,4,5,6,5,5,7,78.26,Fake
1292,90,88,83,95,1,1,0,0,1,0,13.56,Genuine
3654,56,35,15,41,6,7,5,5,6,5,77.31,Fake
3268,46,79,71,52,1,1,2,3,3,2,37.27,Suspicious
4468,49,77,48,76,2,1,3,2,3,2,40.17,Suspicious
125,70,49,78,80,1,3,3,4,1,2,37.19,Suspicious
4119,79,52,57,75,3,2,0,2,1,1,34.19,Suspicious
1497,59,52,46,24,6,3,3,5,3,3,65.22,Fake
1310,97,97,95,92,1,0,1,0,1,1,8.06,Genuine
399,17,13,36,53,8,7,5,5,6,6,92.73,Fake
4077,58,45,73,75,3,3,2,2,3,3,48.34,Suspicious
2028,81,90,83,89,0,1,1,0,1,0,19.33,Genuine
1972,92,91,89,91,0,1,1,1,1,1,9.35,Genuine
4806,56,26,54,41,8,5,6,7,2,3,73.47,Fake
4226,47,71,54,72,3,3,1,4,3,3,45.44,Suspicious
3823,59,25,16,41,3,5,3,6,6,6,71.37,Fake
3878,24,39,60,36,8,3,6,4,4,6,89.82,Fake
2566,52,44,46,72,2,0,3,1,2,1,37.06,Suspicious
240,55,26,44,21,4,3,5,4,7,7,75.79,Fake
3850,92,86,95,85,0,0,0,1,1,0,7.42,Genuine
2817,51,66,53,66,2,1,0,1,1,1,27.2,Suspicious
966,80,42,63,71,3,1,0,1,1,2,38.22,Suspicious
4299,93,95,84,98,1,1,0,0,0,1,14.73,Genuine
4124,56,74,62,65,1,2,1,1,1,2,26.88,Suspicious
646,81,83,93,95,1,0,0,0,1,1,19.34,Genuine
977,35,59,55,43,9,4,5,6,5,9,85.26,Fake
4093,88,93,94,92,0,0,0,1,1,1,11.76,Genuine
3786,89,96,80,98,1,0,1,1,0,1,16.46,Genuine
2430,87,87,86,89,1,0,0,1,1,1,13.8,Genuine
1249,48,53,62,55,3,1,1,3,1,3,41.14,Suspicious
3623,94,86,81,97,0,1,1,0,0,1,11.57,Genuine
3571,14,39,59,59,7,4,6,5,2,3,74.94,Fake
164,57,33,27,36,8,2,6,5,4,4,71.07,Fake
522,50,44,15,30,7,3,2,3,4,5,70.09,Fake
433,93,84,88,88,1,1,1,0,0,1,18.15,Genuine
4861,67,50,57,56,3,0,2,4,2,3,43.9,Suspicious
4130,86,99,82,89,0,0,1,0,0,1,8.3,Genuine
2560,58,52,43,34,4,6,4,5,2,8,70.43,Fake
391,75,72,57,62,1,1,3,4,1,3,40.98,Suspicious
4755,17,53,30,57,6,3,5,6,3,9,81.0,Fake
1995,45,50,17,12,8,7,5,3,2,6,84.43,Fake
1183,52,29,44,32,6,2,7,4,7,9,78.32,Fake
2694,74,40,59,64,2,0,1,1,1,3,33.14,Suspicious
1780,68,47,61,78,4,3,1,2,3,2,46.23,Suspicious
4184,69,69,78,55,3,2,2,1,1,1,30.66,Suspicious
2752,53,79,72,59,1,3,0,1,2,1,29.75,Suspicious
981,15,51,20,14,4,2,3,3,2,4,69.3,Fake
475,83,87,96,90,0,1,0,1,1,1,6.63,Genuine
1979,79,73,77,65,1,1,3,1,3,3,34.25,Suspicious
3310,18,41,15,23,6,3,6,7,4,6,83.77,Fake
3560,73,75,46,62,1,3,1,3,1,1,29.67,Suspicious
1385,73,72,67,80,1,1,1,3,1,2,25.01,Suspicious
